timestamp,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1710733109851,0.3065804,-0.16510476,9.870992,-15.262501,31.25625,-158.60626,4.5813544E-4,6.8720314E-4,0.004275931
1710733109963,0.124426775,0.29940194,9.851849,-15.187501,30.487501,-159.28125,-1.5271181E-4,0.0037414394,-0.014049487
1710733110058,0.19860429,0.0071784677,9.866206,-15.187501,30.243752,-160.125,-7.635591E-4,0.0019088977,0.0018325418
1710733110160,0.18664017,0.083748795,9.861421,-16.66875,31.406252,-158.55,0.00167983,0.0019088977,-6.1084726E-4
1710733110264,0.22253251,0.04546363,9.87817,-18.956251,32.30625,-158.94376,-0.0025961008,0.0037414394,0.002443389
1710733110372,0.22971097,0.062213387,9.837492,-16.893751,31.462502,-159.1125,0.0029015245,6.8720314E-4,-0.004275931
1710733110476,0.23449662,0.11964113,9.880563,-17.23125,31.44375,-159.16876,0.0010689828,0.0019088977,-0.004886778
1710733110585,0.23688944,0.043070808,9.870992,-18.018751,30.88125,-159.26251,0.00167983,6.8720314E-4,-0.004275931
1710733110688,0.22253251,0.09810573,9.880563,-17.625,31.425001,-158.56876,-7.635591E-4,0.0031305922,-6.1084726E-4
1710733110790,0.24646074,0.023928227,9.902099,-17.8125,31.237501,-158.4375,0.0022906773,0.002519745,-0.0012216945
1710733110894,0.25603202,0.22492532,9.892527,-16.5375,31.931252,-158.41876,4.5813544E-4,0.0031305922,0.0030542363
1710733110999,0.23449662,0.04546363,9.880563,-16.44375,31.462502,-157.63126,-0.0019852535,0.002519745,0.004275931
1710733111101,0.22971097,0.11006984,9.868599,-17.1375,31.462502,-159.45001,0.00167983,0.0012980504,-0.0030542363
1710733111210,0.24646074,0.076570325,9.866206,-17.4375,31.743752,-158.70001,-1.5271181E-4,0.0012980504,0.002443389
1710733111321,0.22731815,0.059820566,9.863813,-17.71875,31.125002,-158.88751,0.0022906773,0.0037414394,0.0
1710733111419,0.21535404,0.09571291,9.856635,-17.7,31.931252,-158.4375,0.0010689828,0.002519745,-0.0018325418
1710733111524,0.22731815,0.069391854,9.861421,-17.475,31.1625,-158.60626,0.0010689828,0.0012980504,-0.0018325418
1710733111626,0.22971097,0.09332009,9.863813,-17.60625,31.837502,-158.70001,4.5813544E-4,6.8720314E-4,0.0
1710733111726,0.23449662,0.05742774,9.863813,-17.0625,31.66875,-158.08125,-1.5271181E-4,0.0031305922,0.0
1710733111837,0.20817557,0.07178468,9.859028,-17.15625,31.1625,-157.66876,0.0010689828,0.002519745,0.0
1710733111939,0.21774685,0.078963146,9.882956,-17.34375,31.10625,-158.21251,-1.5271181E-4,0.0012980504,-0.0012216945
1710733112044,0.13878371,-0.09332009,9.875777,-17.4375,30.806252,-159.05626,0.00167983,6.8720314E-4,-0.012216945
1710733112148,0.37597227,0.48364928,9.839885,-17.681252,31.3875,-158.83125,-0.0013744063,0.0031305922,0.007330167
1710733112256,0.25124636,-0.016749758,9.870992,-17.268751,30.975,-158.75626,-1.5271181E-4,0.0012980504,0.004886778
1710733112361,0.14596218,0.16510476,9.870992,-17.400002,31.35,-158.68126,-1.5271181E-4,0.002519745,6.1084726E-4
1710733112462,0.23928227,0.08135597,9.870992,-17.456251,31.35,-158.23126,0.0029015245,0.0012980504,0.0061084726
1710733112567,0.27756742,-0.011964113,9.861421,-17.4375,31.275002,-158.98126,0.00167983,6.8720314E-4,0.0
1710733112671,0.2009971,0.13878371,9.863813,-17.456251,31.7625,-159.0375,0.0010689828,0.002519745,0.0061084726
1710733112775,0.23449662,-0.0047856453,9.868599,-17.2875,32.025,-158.475,0.00167983,0.002519745,-0.002443389
1710733112876,0.22013968,0.13878371,9.880563,-17.118752,31.500002,-158.26875,0.00167983,0.0019088977,-0.0030542363
1710733112979,0.18903299,0.043070808,9.868599,-17.212502,31.968752,-158.38126,0.0010689828,0.0019088977,-0.002443389
1710733113087,0.19381863,0.18664017,9.866206,-17.53125,31.368752,-159.0,-1.5271181E-4,0.0031305922,6.1084726E-4
1710733113187,0.16031912,0.011964113,9.859028,-18.337502,31.575,-159.09375,-1.5271181E-4,0.007406523,0.0061084726
1710733113292,0.2727818,0.09332009,9.868599,-17.306252,32.081253,-157.95001,0.0029015245,0.0012980504,-0.014049487
1710733113395,0.17706887,0.08135597,9.873384,-17.0625,31.500002,-158.88751,4.5813544E-4,0.0019088977,0.0
1710733113496,0.20338993,0.06460621,9.861421,-17.1,31.462502,-158.71875,4.5813544E-4,0.0019088977,-0.007330167
1710733113599,0.19860429,0.076570325,9.859028,-17.4375,31.312502,-158.4375,-0.0013744063,0.0012980504,-0.002443389
1710733113709,0.2321038,0.09810573,9.861421,-16.9125,31.425001,-158.25,-7.635591E-4,0.0019088977,-6.1084726E-4
1710733113811,0.2105684,0.040677983,9.866206,-16.893751,31.425001,-157.9125,0.0010689828,0.0019088977,-0.002443389
1710733113914,0.22731815,0.083748795,9.892527,-16.5,30.956251,-158.70001,-1.5271181E-4,0.0012980504,-0.0036650836
1710733114020,0.20817557,0.0741775,9.854242,-17.4375,31.987501,-158.60626,-1.5271181E-4,0.0012980504,-0.004275931
1710733114119,0.20338993,0.03589234,9.854242,-17.118752,31.687502,-158.55,0.0010689828,0.0012980504,-0.007330167
1710733114227,0.23449662,0.069391854,9.880563,-17.681252,32.025,-158.56876,0.0010689828,0.0012980504,-0.0030542363
1710733114329,0.19860429,0.10289137,9.847063,-17.681252,31.725,-159.225,0.00167983,0.0031305922,-0.0018325418
1710733114437,0.2009971,0.09092726,9.847063,-17.175001,31.218752,-158.71875,-1.5271181E-4,0.0012980504,0.0
1710733114540,0.19381863,0.10049855,9.866206,-17.15625,31.7625,-158.32501,4.5813544E-4,0.002519745,-0.0061084726
1710733114644,0.2105684,0.023928227,9.854242,-17.4375,31.9125,-158.88751,0.0010689828,0.002519745,-0.0030542363
1710733114743,0.28983065,0.124426775,9.868599,-17.41875,31.650002,-157.125,4.5813544E-4,7.635591E-5,0.0012216945
1710733114846,0.2416751,0.031106694,9.868599,-16.6875,31.518751,-157.63126,-7.635591E-4,0.0019088977,-0.004275931
1710733114948,0.17706887,0.09571291,9.868599,-17.362501,31.593752,-158.02501,0.00167983,7.635591E-5,-6.1084726E-4
1710733115052,0.19381863,0.040677983,9.861421,-17.2875,31.29375,-157.78125,-7.635591E-4,7.635591E-5,-0.004886778
1710733115156,0.22492532,0.0526421,9.866206,-17.34375,31.125002,-158.71875,-0.0013744063,6.8720314E-4,-0.0012216945
1710733115260,0.22253251,0.05742774,9.868599,-17.8125,31.931252,-158.3625,-7.635591E-4,0.0019088977,-6.1084726E-4
1710733115361,0.22492532,0.059820566,9.875777,-16.95,31.575,-157.66876,0.00167983,0.0019088977,0.0
1710733115463,0.2105684,0.078963146,9.849456,-17.38125,31.125002,-158.3625,0.0010689828,0.0012980504,-0.0018325418
1710733115565,0.22013968,0.05503492,9.861421,-16.85625,32.25,-157.95001,-7.635591E-4,0.002519745,-0.0030542363
1710733115671,0.24646074,0.11964113,9.859028,-16.81875,31.0125,-157.76251,0.0010689828,-5.344914E-4,-6.1084726E-4
1710733115775,0.23928227,0.062213387,9.870992,-17.7,31.312502,-158.86876,4.5813544E-4,0.0012980504,-0.0012216945
1710733115878,0.2440679,0.11964113,9.887741,-17.868752,31.743752,-158.02501,-1.5271181E-4,0.0019088977,-0.0012216945
1710733115980,0.23688944,0.04546363,9.863813,-17.325,31.237501,-158.23126,4.5813544E-4,0.0019088977,-0.0018325418
1710733116084,0.22971097,0.062213387,9.873384,-17.5125,31.893751,-158.15625,-1.5271181E-4,0.0019088977,-0.002443389
1710733116188,0.22971097,0.05742774,9.873384,-17.41875,31.7625,-157.875,0.0010689828,-5.344914E-4,-0.004886778
1710733116292,0.21296121,0.07178468,9.868599,-17.19375,31.06875,-158.23126,4.5813544E-4,0.002519745,-0.0018325418
1710733116393,0.22492532,0.0741775,9.856635,-17.2875,31.031252,-158.08125,4.5813544E-4,0.0012980504,-0.0012216945
1710733116495,0.21296121,0.08135597,9.866206,-17.493752,31.312502,-158.32501,4.5813544E-4,0.002519745,-0.002443389
1710733116597,0.21296121,0.06699903,9.873384,-17.38125,31.837502,-157.76251,-1.5271181E-4,-0.0011453386,-0.0030542363
1710733116706,0.21535404,0.078963146,9.870992,-16.931252,31.312502,-157.48126,0.0010689828,6.8720314E-4,-0.0030542363
1710733116810,0.21535404,0.06460621,9.885348,-16.9125,31.35,-158.02501,-1.5271181E-4,0.0031305922,-6.1084726E-4
1710733116918,0.21535404,0.076570325,9.880563,-17.15625,31.968752,-158.1,-0.0013744063,6.8720314E-4,-0.0030542363
1710733117021,0.19381863,0.086141616,9.866206,-17.25,31.650002,-158.13751,-1.5271181E-4,0.0012980504,-0.0030542363
1710733117124,0.20817557,0.05503492,9.854242,-17.681252,31.800001,-157.1625,-7.635591E-4,0.0019088977,-0.002443389
1710733117226,0.21296121,0.08853444,9.875777,-17.41875,31.81875,-158.21251,0.0010689828,7.635591E-5,-0.0018325418
1710733117330,0.22253251,0.076570325,9.87817,-17.362501,31.031252,-158.13751,4.5813544E-4,6.8720314E-4,-0.002443389
